Number of clusters,Covariance,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
5,5,0.0,40.64018466133831,35.86242401821902,39.96055876196337
5,5,0.01,39.06352515205002,35.15061096486998,39.696440220184904
5,5,0.1,39.06688851309759,35.04500935788876,39.60091680474169
5,5,1.0,40.145582897269634,34.7678388497451,39.609696516973756
5,5,10.0,41.42509892260744,32.881078011414914,38.937765898343635
5,5,100.0,59.09049888145924,44.15542305788757,52.214146562317374
5,10,0.0,31.46881541274208,28.752138537945577,30.895214837750558
5,10,0.01,31.603617723252476,28.571429629143978,31.26916163672337
5,10,0.1,31.662339873354245,28.552359560230702,31.21275316887027
5,10,1.0,31.84036845122014,27.790745959302818,31.25499250190638
5,10,10.0,41.11251703626173,30.708980841811776,37.283742507962735
5,10,100.0,64.6581182601513,48.85757519038391,56.35747908866114
5,15,0.0,29.268934514599444,26.998035135649978,28.730165466259262
5,15,0.01,29.328680708268575,26.872982917099613,29.00598655528407
5,15,0.1,29.398357817305524,26.578802648485535,29.095298932472282
5,15,1.0,31.916917060771446,25.748823354042056,30.471512630858072
5,15,10.0,54.53252133949077,40.66265111438966,47.942125477403884
5,15,100.0,70.13543722471962,53.51616722403663,61.06097505761735
5,20,0.0,28.582939051986983,26.240943895374027,28.205879666695512
5,20,0.01,28.547263739978348,26.169766808745738,28.24377204647033
5,20,0.1,28.897581268026176,25.439926254418356,28.387475465981176
5,20,1.0,38.36651655309665,28.673929888125574,34.98980982127523
5,20,10.0,64.49418078103993,48.826586464930145,56.2325893773155
5,20,100.0,71.6918855972046,54.838273613810145,62.35484486961083
10,5,0.0,24.491466010200117,22.512413524765876,24.5017193601434
10,5,0.01,19.87770937372749,17.695919313325746,17.986400328731264
10,5,0.1,35.333693803546055,31.691054195270972,35.02574471814031
10,5,1.0,37.26293400823586,32.70339516468764,37.243843291949965
10,5,10.0,39.95032956957345,32.777675064408264,38.16286317781167
10,5,100.0,52.66586922953244,38.970959842444685,47.058176525039734
10,10,0.0,4.717914983663484,4.30418906814065,3.7485001562442917
10,10,0.01,30.678246079539562,28.53402869168603,30.699822692821325
10,10,0.1,31.118707930497482,28.54552428647661,30.84455759422542
10,10,1.0,31.420098127658264,27.994702810820517,30.83135223620134
10,10,10.0,35.2510749681477,27.65655139045622,32.99268865350936
10,10,100.0,58.58630170231773,43.95751237077958,51.25007820584079
10,15,0.0,2.2058961333873897,1.842958335287711,2.070882374311957
10,15,0.01,29.087430593321532,26.909813233267233,28.80812613423267
10,15,0.1,29.274587134291654,26.670680716385004,28.867346413227253
10,15,1.0,30.01563322380837,25.706833417895904,29.185209886600205
10,15,10.0,44.22368807349747,32.67703639192282,39.59458783296994
10,15,100.0,67.1946656882989,51.07876728369618,58.564535799053814
10,20,0.0,4.811300774879163,5.03836383421146,4.423781735939908
10,20,0.01,28.496442982894333,26.241694470833348,28.247203873051294
10,20,0.1,28.615196339039848,25.820123899602333,28.201917708799684
10,20,1.0,32.04303749768051,25.369076991096183,30.244511324622774
10,20,10.0,57.17237401314018,42.78634818702603,49.93028496074512
10,20,100.0,70.50947835863064,53.86652314159848,61.3075033918171
15,5,0.0,8.376850389140094,7.6673781613250345,8.59318460977549
15,5,0.01,10.641327776096183,9.136968661824934,10.131703050223948
15,5,0.1,21.214370454183634,19.04303987826607,21.29035653376101
15,5,1.0,34.37882418632704,30.665655300961593,34.08519142383309
15,5,10.0,39.260761707120494,32.822596199986286,38.067099572617295
15,5,100.0,49.17240640602084,36.72589068004909,44.34394168651649
15,10,0.0,2.704575429790762,2.686505895946234,3.3302602238090167
15,10,0.01,30.30747787396961,28.25942642479061,30.43546502805766
15,10,0.1,31.044071013497387,28.47047859022494,30.81256730990194
15,10,1.0,31.259511893941866,28.2029683702337,30.84338126428712
15,10,10.0,33.766069448946844,27.30418110692133,32.37265267694129
15,10,100.0,54.93497355005992,40.75410491234227,48.46100636757898
15,15,0.0,1.454291929173972,1.4633776260597278,1.6519332812791183
15,15,0.01,28.970716636619237,26.95057918532683,28.69493569815224
15,15,0.1,29.19181301648473,26.766837457628377,28.883670824535727
15,15,1.0,29.633922048891353,25.92727905011164,28.98600777136974
15,15,10.0,39.635507930522664,29.469101865035018,35.75267248789614
15,15,100.0,64.54201685095624,48.82060367396904,56.18210398952941
15,20,0.0,1.1202358749114443,1.208741670125641,1.278790085671079
15,20,0.01,28.489549574588313,26.238744221667876,28.210823252058024
15,20,0.1,28.592108205190094,26.01816980826017,28.33160571651577
15,20,1.0,30.782688943924754,25.016921590977933,29.40823917730228
15,20,10.0,51.218294321276744,38.08194731769861,45.38689656299475
15,20,100.0,69.49992839834613,52.9743456071099,60.55205322420265
20,5,0.0,6.692705962813674,6.651424481886585,7.275025589184467
20,5,0.01,8.537006137577366,7.323865207136916,8.49601161300878
20,5,0.1,19.270477420596283,17.516892995394542,18.184283887022367
20,5,1.0,33.357602241698906,29.61329694715903,33.02124040003284
20,5,10.0,38.71245706829068,32.488893297150966,37.25132959063765
20,5,100.0,46.224236445604184,35.02603208023119,42.57546273885481
20,10,0.0,2.0351922526315374,2.1739036173387203,2.442246676020402
20,10,0.01,30.107139486378276,28.0519683302076,30.12821980436796
20,10,0.1,30.87145172107816,28.526015032730125,30.697103923601855
20,10,1.0,31.32284408165849,28.23346589760969,30.896656983353026
20,10,10.0,32.53991872841617,27.29129510457777,31.546486282352674
20,10,100.0,51.74867852404755,38.30527883146431,45.72372839666805
20,15,0.0,1.8390628623231828,2.243618393684248,2.4223037490904367
20,15,0.01,28.93563551062353,26.970727783574855,28.682727745823072
20,15,0.1,29.204675416504802,26.794783120933133,28.903532242380415
20,15,1.0,29.522573372528512,26.085191930201347,28.912507569513174
20,15,10.0,36.74243587217832,27.83536074990332,33.74877000062361
20,15,100.0,62.90248634380253,47.405228689379726,55.10657898233379
20,20,0.0,14.659305851838418,14.825750071983974,14.776019750454191
20,20,0.01,28.439015297655715,26.232380524993836,28.13947841273667
20,20,0.1,28.571211151669797,26.029455989411122,28.219589959985555
20,20,1.0,29.63908318408934,25.163229333300535,28.85795832090915
20,20,10.0,46.707797066845785,34.47974634277853,41.39973413250245
20,20,100.0,68.24245891139131,51.964585236938795,59.457319691999
