lr,num hidden nodes,Train Accuracy,Val Accuracy,Test Accuracy
0.01,1,1.0,1.0,1.0
0.001,1,0.9972222222222222,0.9888888888888889,0.98
0.0003,1,0.4888888888888889,0.4777777777777778,0.56
0.01,2,1.0,1.0,1.0
0.001,2,0.7916666666666666,0.7888888888888889,0.78
0.0003,2,0.9805555555555555,0.9777777777777777,0.98
0.01,4,1.0,1.0,1.0
0.001,4,1.0,0.9888888888888889,1.0
0.0003,4,0.9944444444444445,0.9888888888888889,1.0
0.01,6,1.0,1.0,1.0
0.001,6,1.0,1.0,1.0
0.0003,6,0.9972222222222222,0.9888888888888889,1.0
