degree,C,Train Accuracy,Val Accuracy,Test Accuracy
6,0.01,0.5118764845605701,0.4789915966386555,0.48333333333333334
6,0.1,0.5201900237529691,0.48739495798319327,0.5
6,1.0,0.5261282660332541,0.4495798319327731,0.5
6,5.0,0.5213776722090261,0.44537815126050423,0.525
6,10.0,0.517814726840855,0.4495798319327731,0.5166666666666667
10,0.01,0.5118764845605701,0.4789915966386555,0.48333333333333334
10,0.1,0.5166270783847982,0.46218487394957986,0.5
10,1.0,0.5237529691211401,0.48739495798319327,0.49166666666666664
10,5.0,0.5201900237529691,0.4789915966386555,0.5
10,10.0,0.5201900237529691,0.4789915966386555,0.5
15,0.01,0.8076009501187649,0.7773109243697479,0.7583333333333333
15,0.1,0.8420427553444181,0.8445378151260504,0.825
15,1.0,0.850356294536817,0.8529411764705882,0.8333333333333334
15,5.0,0.8657957244655582,0.8319327731092437,0.8416666666666667
15,10.0,0.8646080760095012,0.8319327731092437,0.8416666666666667
20,0.01,0.5142517814726841,0.47478991596638653,0.49166666666666664
20,0.1,0.5190023752969121,0.47058823529411764,0.48333333333333334
20,1.0,0.5190023752969121,0.47058823529411764,0.48333333333333334
20,5.0,0.5201900237529691,0.47478991596638653,0.48333333333333334
20,10.0,0.5261282660332541,0.47058823529411764,0.48333333333333334
