reduced_dim,gamma,C,Train Accuracy,Val Accuracy,Test Accuracy
67,50.0,0.01,1.0,0.22,0.208
67,50.0,0.1,1.0,0.22,0.208
67,50.0,1.0,1.0,0.22,0.208
67,50.0,10.0,1.0,0.22,0.208
67,10.0,0.01,0.998,0.428,0.358
67,10.0,0.1,0.998,0.428,0.358
67,10.0,1.0,0.998,0.428,0.358
67,10.0,10.0,0.998,0.428,0.358
67,1.0,0.01,0.706,0.402,0.32
67,1.0,0.1,0.706,0.402,0.32
67,1.0,1.0,0.706,0.402,0.32
67,1.0,10.0,0.706,0.402,0.32
67,0.1,0.01,0.6128571428571429,0.415,0.324
67,0.1,0.1,0.6128571428571429,0.415,0.324
67,0.1,1.0,0.6128571428571429,0.415,0.324
67,0.1,10.0,0.6128571428571429,0.415,0.324
67,0.05,0.01,0.5985714285714285,0.427,0.324
67,0.05,0.1,0.5985714285714285,0.427,0.324
67,0.05,1.0,0.5985714285714285,0.427,0.324
67,0.05,10.0,0.5985714285714285,0.427,0.324
69,50.0,0.01,1.0,0.215,0.206
69,50.0,0.1,1.0,0.215,0.206
69,50.0,1.0,1.0,0.215,0.206
69,50.0,10.0,1.0,0.215,0.206
69,10.0,0.01,0.9982857142857143,0.438,0.358
69,10.0,0.1,0.9982857142857143,0.438,0.358
69,10.0,1.0,0.9982857142857143,0.438,0.358
69,10.0,10.0,0.9982857142857143,0.438,0.358
69,1.0,0.01,0.7105714285714285,0.41,0.318
69,1.0,0.1,0.7105714285714285,0.41,0.318
69,1.0,1.0,0.7105714285714285,0.41,0.318
69,1.0,10.0,0.7105714285714285,0.41,0.318
69,0.1,0.01,0.6122857142857143,0.417,0.314
69,0.1,0.1,0.6122857142857143,0.417,0.314
69,0.1,1.0,0.6122857142857143,0.417,0.314
69,0.1,10.0,0.6122857142857143,0.417,0.314
69,0.05,0.01,0.5994285714285714,0.426,0.32
69,0.05,0.1,0.5994285714285714,0.426,0.32
69,0.05,1.0,0.5994285714285714,0.426,0.32
69,0.05,10.0,0.5994285714285714,0.426,0.32
71,50.0,0.01,1.0,0.213,0.206
71,50.0,0.1,1.0,0.213,0.206
71,50.0,1.0,1.0,0.213,0.206
71,50.0,10.0,1.0,0.213,0.206
71,10.0,0.01,0.998,0.435,0.358
71,10.0,0.1,0.998,0.435,0.358
71,10.0,1.0,0.998,0.435,0.358
71,10.0,10.0,0.998,0.435,0.358
71,1.0,0.01,0.7134285714285714,0.414,0.322
71,1.0,0.1,0.7134285714285714,0.414,0.322
71,1.0,1.0,0.7134285714285714,0.414,0.322
71,1.0,10.0,0.7134285714285714,0.414,0.322
71,0.1,0.01,0.6148571428571429,0.421,0.32
71,0.1,0.1,0.6148571428571429,0.421,0.32
71,0.1,1.0,0.6148571428571429,0.421,0.32
71,0.1,10.0,0.6148571428571429,0.421,0.32
71,0.05,0.01,0.5988571428571429,0.425,0.326
71,0.05,0.1,0.5988571428571429,0.425,0.326
71,0.05,1.0,0.5988571428571429,0.425,0.326
71,0.05,10.0,0.5988571428571429,0.425,0.326
